Id,Neg,Pos,Review
1,服務,,"服務態度 x
極差 x
。 x
預定 x
的 uj
房間 x
告訴 x
我 r
沒有 x
， x
說 v
要 v
加錢 x
升級 x
才 d
有 v
。 x
我 r
說 v
我 r
已經 x
用 p
信用卡 n
擔保 x
， x
服務員 x
很 zg
堅決 x
地 uv
說 v
沒有 x
收到 v
， x
沒 zg
錢 x
可以 c
走 v
。 x"
7,環境	服務,,"酒店 n
的 uj
服務 x
簡直 x
不好 d
程度 n
排 v
第一 m
！ x
我 r
第一天 m
住 v
1702 m
， x
房間 x
漏風 x
。 x
第二天 m
調整 x
到 v
1710 m
房間 x
！ x
這個 x
房間 x
的 uj
空調 x
是 v
壞 a
的 uj
！ x
半夜 m
給 p
凍醒 v
了 ul
。 x
第三天 m
調整 x
到 v
1107 m
房間 x
， x
明顯 x
比 p
1702 m
和 c
1710 m
房間 x
小 a
的 uj
很多 m
， x
而且 c
房間 x
不 d
能夠 x
上網 x
， x
我 r
已經 x
被 p
折磨 v
的 uj
沒有 x
力氣 x
在 p
調整 x
房間 x
了 ul
。 x
想 v
躺 v
在 p
床上 n
看看 v
電視 x
， x
我 r
的 uj
天 q
啊 y
！ x
看 v
不了 v
！ x
總之 x
我 r
對 p
這次 x
攜程 x
的 uj
服務 x
比較滿意 x
， x
對 p
該 r
遼寧省 x
瀋陽市 x
新湖 ns
城市 ns
酒店 n
提供 v
的 uj
客房 n
服務 x
是 v
特別 x
特別 x
特別 x
的 uj
不 a
滿意 x
！ x
我 r
希望 v
攜程 x
能夠 x
好好 d
考慮一下 x
自己 r
的 uj
加盟 ns
酒店 n
， x
總是 x
這樣 x
我們 x
還 x
怎麼 x
相信 v
攜程 x
這樣 x
的 uj
品牌 n
。 x
總體 x
來說 x
我 r
很 d
鬱悶 x
！ x
也 d
特別 x
的 uj
傷心 x
！ x"
8,環境	服務,,"入住 v
退房 v
慢 a
, x
電梯 x
慢 a
, x
超市 v
破 v
, x
房間 x
舊 x
, x
服務態度 x
差 a
! x"
9,,環境,"攜程 x
定 v
的 uj
不帶 n
早飯 x
， x
所以 c
不能 v
評價 x
吃 v
的 uj
。 x
總體 x
來說 x
裝修 x
不錯 x
， x
沒有 x
什麼 x
特別 x
大 a
的 uj
毛病 n
。 x
停車 x
先 d
收 v
20 m
快 a
一天 m
， x
最後 x
到 v
前台 n
報銷 x
。 x
空調 x
非常 d
足 a
， x
都 d
有點 x
過熱 x
了 ul
。 x
這個 x
價位 x
住 v
到 v
這樣 x
子 ng
的 uj
酒店 n
， x
非常 d
好 a
了 ul
。 x
感覺 x
比較 x
適合 x
家庭 n
出遊 x
。 x
上網 x
貴 a
的 uj
就是 d
不要 df
上網 x
了 ul
， x
比較 x
黑 a
。 x"
10,,環境	服務	餐廳,"酒店 n
服務 x
不錯 x
， x
環境 x
也 d
還 d
比較 x
好 a
！ x
特別 x
是 v
好像 v
是 v
48 m
樓 n
那個 x
旋轉 x
餐廳 x
滿 x
有 v
特色 n
， x
至少 d
我 r
覺得 x
住 v
這個 x
酒店 n
還 d
滿 a
滿意 x
！ x"
11,環境,,"在 p
長春 x
這樣 x
的 uj
房間 x
還好 x
, x
環境 x
也 d
還好 x
, x
就是 d
現在 x
氣溫 x
已經 x
在 p
零下 m
啦 y
, x
房間 x
的 uj
空調 x
還 x
沒有 x
暖風 x
, x
晚上 t
都 d
凍醒 v
了 ul
幾次 x
, x
感冒 v
啦 y
. m"
12,環境,,"交通不便 l
是 v
這個 x
地方 n
最最 d
令 v
我 r
失望 v
的 uj
地方 n
， x
住 v
了 ul
三天 m
， x
第一天 m
， x
打 v
不到 v
的士 n
， x
酒店 n
的 uj
司機 x
開了個 x
商務車 x
竟然 d
收 v
我 r
40 m
塊 q
去 v
一個 x
實際上 x
打車 x
只要 c
不到 v
20 m
塊 q
的 uj
地方 n
。 x
不是 c
錢 n
的 uj
問題 x
， x
而是 c
趁火打劫 i
的 uj
行為 n
實在 x
令 v
我 r
憤怒 x
。 x
房間 x
的 uj
第二個 x
晚上 t
， x
竟然 d
沒有 x
空調 x
， x
只 d
緩慢 x
吹風 x
。 x
而且 c
房間 x
的 uj
隔音 n
也 d
不怎麼樣 x
， x
白天 t
晚上 t
都 d
可以 c
聽到 x
KTV eng
和 c
夜總會 x
的 uj
歌聲 x
。 x
本來 x
酒店 n
的 uj
房間 x
設計 x
， x
和 c
格調 x
我 r
還 d
聽 v
喜歡 x
的 uj
， x
不過 x
經歷 x
以上 f
的 uj
， x
以後 x
真的 d
不敢恭維 x
。 x"
13,餐廳	服務	環境,,"建議 x
不要 df
入住 v
！ x
簡直 x
就是 d
2 x
星級 x
以下 f
的 uj
賓館 x
。 x
根本 a
體會 x
不到 v
啥 r
服務 x
。 x
只有 c
嘈雜 x
的 uj
人聲 x
。 x
整個 x
就是 d
接待 v
旅遊 x
會議 x
團隊 x
的 uj
只顧 x
賺錢 x
的 uj
賓館 x
。 x
早上 t
吃飯 x
更是 d
亂 zg
。 x
吃 v
個 q
飯 n
都 d
不安寧 x
。 x"
14,,環境	價格,"服務 x
很 zg
熱情 x
， x
房間 x
溫度 x
正好 a
， x
隔音 n
效果 n
好 a
， x
地理位置 n
優越 x
， x
性價比 x
高 a
， x
下次 t
來 v
還 d
住 v
這裡 r
！ x"
15,餐廳	交通,,"同樣 x
的 uj
房間 x
有 v
小 a
有 v
大 a
， x
地理位置 n
比較 x
偏遠 x
。 x
早飯 x
不是 c
自助餐 v
形式 n
的 uj
， x
採用 x
的 uj
是 v
套餐 n
形式 n
。 x
不 d
能夠 x
自己 r
選擇 x
的 uj
， x
套餐 n
之外 f
的 uj
要 v
自己 r
購買 x
的 uj
。 x
這個 x
很 d
不 d
方便 a
， x
本人 r
不是 c
很 zg
喜歡 x
。 x
賓館 x
反饋 x
2008 m
年 m
4 m
月 m
7 m
日 m
： x
非常 d
感謝您 x
光臨 x
我們 x
酒店 n
, x
也 d
感謝您 x
對 x
我們 x
酒店 n
的 uj
關注 x
和 c
提出 v
一些 m
問題 x
, x
酒店 n
同 p
一種 x
房間 x
大小 b
都 d
是 v
一樣 x
的 uj
. m
關於 x
同樣 x
的 uj
房間 x
有 v
小 a
有大 a
的 uj
問題 x
, x
是 v
在 p
客人 n
原訂 x
房型 n
不足 a
用 p
或 c
出現異常 x
問題 x
時 zg
, x
我們 x
酒店 n
為了 p
保障 v
預訂 x
客人 n
的 uj
房間 x
而 c
給予 x
客人 n
免費 x
升級 x
入住 v
所 c
產生 x
的 uj
情況 x
. x
酒店 n
早餐 n
是 v
套餐 n
形式 n
. x
共有 v
8 m
款 m
固定 a
中式 n
茶點 x
套餐 n
供 v
客人 n
選用 x
, x
套餐 n
之外 f
需 v
增加 v
其它 r
點心 x
客人 n
需 v
自已 d
購買 x
. m
給 p
您 r
造成 v
不便 c
我們 x
深表歉意 vn
! x
歡迎您 x
的 uj
再次 d
光臨 x
我們 x
酒店 n
! x"
